0,PlayerOneName,PlayerTwoName,WinnerName,WinnerAI,WinnerSymbol
1,TylerTest,Andy,TIE,N/A,N/A
2,Tyler,Mike,TIE,N/A,N/A
3,Tyler,Abby,TIE,N/A,N/A
4,Tyler,Chris,Chris,true,O
5,Tyler,Daisuke,Tyler,false,X
6,Tyler,Ai,TIE,N/A,N/A
7,Tyler,Alex,TIE,N/A,N/A
8,Akira,Tyler,TIE,N/A,N/A
9,Akira,Tyler,TIE,N/A,N/A
10,Reby,Tyler,TIE,N/A,N/A
11,Reby,Tyler,TIE,N/A,N/A
12,Reby,Tyler,TIE,N/A,N/A
13,Reby,Tyler,TIE,N/A,N/A
14,Reby,Tyler,TIE,N/A,N/A
15,Tyler,Reby,TIE,N/A,N/A
16,Mike,Anna,TIE,N/A,N/A
17,Mike,Anna,TIE,N/A,N/A
18,Mike,Anna,TIE,N/A,N/A
19,Ty,Maria,TIE,N/A,N/A
20,Mike,Daisuke,TIE,N/A,N/A
21,Chris,Elisa,TIE,N/A,N/A
22,Abby,Daisuke,TIE,N/A,N/A
23,Alex,Ty,TIE,N/A,N/A
